Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"2167, NSW",2011,198,179,29,39,181,20,19,8,7,30,12,9,0,13,3,10,16,3,30,9,3,64,50,6,20,72,7
"2168, NSW",2011,886,758,98,109,1000,76,107,51,43,331,32,56,15,118,13,29,105,6,594,63,40,332,273,28,122,886,37
"2170, NSW",2011,2277,2125,351,295,2305,175,249,85,77,600,64,118,24,227,30,36,196,18,1108,150,82,785,514,72,231,1337,69
"2171, NSW",2011,980,877,142,94,722,59,109,48,21,124,37,47,3,60,7,8,32,4,141,34,19,190,149,20,29,172,10
"2172, NSW",2011,117,101,10,8,46,3,7,0,0,8,3,0,0,4,0,0,0,0,3,3,0,13,3,0,0,8,0
"2173, NSW",2011,540,578,93,57,379,48,44,33,11,33,26,24,3,27,8,0,12,8,23,39,3,120,92,14,7,52,0
"2174, NSW",2011,7,10,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0
"2175, NSW",2011,40,51,0,5,41,0,9,0,0,12,0,3,0,5,0,0,0,0,6,4,0,11,11,0,0,12,0
"2176, NSW",2011,1074,1038,131,126,1144,56,142,45,35,378,28,41,14,121,18,30,81,12,585,55,37,320,236,30,94,544,22
"2177, NSW",2011,315,282,43,33,351,24,53,19,18,108,5,15,5,39,5,13,32,5,230,24,5,110,114,25,55,329,18
"2178, NSW",2011,121,164,20,9,105,13,16,4,4,22,5,8,3,9,0,0,8,0,20,3,5,29,20,3,4,21,0
"2179, NSW",2011,99,122,11,3,110,8,22,11,6,16,5,9,0,16,0,4,7,0,38,4,8,31,25,0,12,48,0
"2190, NSW",2011,322,420,61,52,675,41,93,15,25,326,19,30,7,75,11,16,69,5,425,42,32,125,132,18,36,384,13
"2191, NSW",2011,140,156,22,9,149,19,28,8,6,37,6,15,0,22,0,3,6,0,39,11,3,41,43,4,13,60,0
"2192, NSW",2011,194,209,41,42,313,22,38,9,14,106,5,12,4,33,3,12,30,0,102,15,15,109,85,15,24,154,9
"2193, NSW",2011,329,408,60,36,246,26,64,16,11,66,19,9,4,24,9,4,15,6,59,16,15,139,86,6,23,90,7
"2194, NSW",2011,335,305,36,66,561,35,111,19,36,210,16,16,14,53,10,31,45,3,185,29,18,173,144,17,64,258,9
"2195, NSW",2011,222,245,45,81,947,44,99,24,51,423,24,26,3,102,14,25,129,0,386,53,55,122,119,23,57,329,35
"2196, NSW",2011,468,510,83,84,795,39,101,42,41,291,29,38,8,99,9,22,92,8,403,46,46,164,159,28,51,384,20
"2197, NSW",2011,139,167,21,9,200,9,24,7,9,81,8,9,0,41,3,3,17,0,85,6,9,54,53,3,15,129,4
"2198, NSW",2011,207,221,27,25,193,17,31,8,9,40,5,11,0,17,0,0,15,4,49,8,3,59,56,7,17,67,3
"2199, NSW",2011,300,264,34,33,391,18,49,12,21,164,10,14,3,45,6,14,65,5,207,21,10,104,88,5,32,244,5
"2200, NSW",2011,633,572,104,106,1093,64,118,37,65,445,26,32,8,126,9,41,140,11,568,64,38,300,253,39,108,671,42
"2203, NSW",2011,207,379,64,19,217,21,41,18,16,43,16,11,4,8,4,3,12,0,35,5,11,157,92,9,24,93,3
"2204, NSW",2011,388,550,91,45,380,36,90,24,18,102,21,28,5,39,8,9,18,0,118,10,7,214,163,20,46,218,8
"2205, NSW",2011,218,225,38,19,260,28,41,5,8,105,10,16,5,31,4,0,21,0,95,12,15,94,60,3,7,98,9
"2206, NSW",2011,454,624,72,42,382,36,74,29,9,87,20,32,0,20,6,5,16,0,72,20,3,151,87,14,22,109,0
"2207, NSW",2011,684,776,131,66,595,50,100,32,29,162,37,36,3,64,10,4,37,0,137,36,19,206,151,17,45,205,13
"2208, NSW",2011,262,353,48,21,236,19,45,9,17,57,9,19,0,18,0,3,10,0,57,10,9,77,55,10,13,79,5
"2209, NSW",2011,349,362,42,39,349,23,63,17,15,80,16,21,3,25,3,10,16,3,69,12,9,105,86,10,25,121,6
"2210, NSW",2011,659,887,106,66,524,53,101,30,15,127,33,37,5,37,9,6,28,3,128,31,17,191,150,17,40,257,9
"2211, NSW",2011,438,458,79,33,338,31,66,15,11,72,19,21,0,20,4,4,9,0,54,10,13,127,110,21,20,135,5
"2212, NSW",2011,370,394,57,41,296,13,57,19,19,63,6,18,3,28,5,6,10,0,77,18,8,114,84,15,22,134,3
"2213, NSW",2011,550,802,91,45,383,35,64,32,12,65,24,26,3,32,0,7,16,4,88,20,9,175,118,9,26,151,9
"2214, NSW",2011,89,170,22,5,71,6,10,9,3,12,4,3,0,8,3,0,0,0,3,0,0,36,25,3,3,16,0
"2216, NSW",2011,444,505,88,66,531,50,70,22,24,123,21,30,4,39,9,7,41,7,98,17,26,226,119,14,25,179,9
"2217, NSW",2011,550,581,104,94,543,59,95,24,33,133,19,25,3,29,11,11,22,3,64,26,9,173,159,16,33,155,8
"2218, NSW",2011,349,340,55,49,361,31,66,25,18,99,14,7,3,27,9,15,20,0,56,10,15,138,92,24,30,106,10
"2219, NSW",2011,273,376,41,28,236,25,44,9,6,42,12,13,0,22,7,4,12,0,33,8,0,106,78,7,22,65,0
"2220, NSW",2011,661,603,90,83,648,56,102,24,27,181,28,30,4,60,17,20,51,7,150,40,20,242,183,19,53,282,7
"2221, NSW",2011,466,602,62,35,337,40,70,14,7,61,24,18,4,31,3,0,11,3,52,25,4,101,80,12,20,93,5
"2222, NSW",2011,287,334,52,33,284,24,56,13,13,56,11,12,6,17,3,4,14,3,39,12,9,119,75,4,27,78,0
"2223, NSW",2011,503,745,86,72,451,41,80,26,9,64,30,22,0,23,11,8,11,3,46,23,4,173,101,18,23,90,5
"2224, NSW",2011,309,454,53,32,246,25,58,17,4,37,18,20,0,18,7,3,4,0,34,18,3,122,85,12,18,69,4
"2225, NSW",2011,153,276,38,7,129,21,28,6,0,13,16,4,3,5,0,0,3,0,10,12,0,46,37,6,3,10,0
"2226, NSW",2011,288,594,77,28,278,22,44,21,6,28,23,10,7,10,0,0,8,0,17,8,3,95,60,8,9,52,0
"2227, NSW",2011,328,680,59,43,274,26,47,23,10,28,32,24,0,12,3,0,9,0,16,15,3,108,103,14,11,60,0
"2228, NSW",2011,329,605,87,44,329,37,46,23,17,42,28,16,3,20,5,6,6,3,29,25,3,184,130,7,20,124,3
"2229, NSW",2011,584,1181,133,66,493,60,101,48,12,70,48,25,3,28,6,9,9,0,40,36,8,238,180,12,31,101,10
"2230, NSW",2011,449,884,111,42,402,56,84,36,13,70,48,37,4,27,8,0,14,3,39,34,3,258,211,21,31,102,3
"2231, NSW",2011,47,99,9,5,56,0,9,8,0,4,5,3,0,3,0,0,0,0,7,4,0,24,20,0,3,15,3
"2232, NSW",2011,641,1339,160,69,541,59,98,48,25,77,44,42,8,38,7,4,24,4,40,26,3,281,250,24,35,167,6
"2233, NSW",2011,728,1612,197,54,572,53,104,69,18,56,57,45,0,30,11,4,12,3,27,22,8,204,196,18,20,101,0
"2234, NSW",2011,1023,1570,156,66,618,90,110,65,17,79,59,47,3,36,3,7,16,3,51,28,8,306,178,26,21,145,3
"2250, NSW",2011,1141,2179,254,168,1260,115,233,99,42,197,115,72,20,97,20,15,55,6,161,79,21,596,568,76,133,648,29
"2251, NSW",2011,586,1226,125,60,551,54,145,44,22,116,82,35,3,33,6,5,25,6,49,41,7,299,294,23,63,217,3
"2256, NSW",2011,168,348,41,37,223,15,47,14,9,53,15,16,3,22,3,3,14,0,35,19,0,113,129,12,44,165,3
"2257, NSW",2011,340,676,95,54,466,30,97,54,29,66,25,22,5,38,0,3,34,8,84,21,9,207,321,32,96,352,19
